,model,forecast_date,delta,target_end_date,quantile,value,deaths,deltaW,proper,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
24,UMass:ExpertCrowd,2020-04-13,19,2020-05-02,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[26250.0, 29250.0, 31750.0, 34250.0, 36250.0, 37750.0, 39250.0, 40750.0, 42250.0, 43750.0, 45750.0, 47750.0, 49250.0, 51250.0, 53250.0, 55250.0, 57750.0, 61250.0, 65750.0, 71750.0, 89250.0, 108750.0, 133750.0]",69535.0,3.0,True,-9.442347487011723,0.9799985380403243,0.98,8.171116273297807e-06,133750.0,26250.0,47750.0,112.2999867218132
25,COVIDhub:baseline,2020-04-13,12,2020-04-25,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[31563.8325383254, 33229.2497697477, 34006.640701407, 37270.9451774518, 38575.4390483905, 40027.1309393094, 41397.645921459196, 42428.7091800918, 42918.0605406054, 43070.7278852789, 43092.4253592536, 43107.0, 43121.5161626616, 43143.2880868809, 43292.9915279153, 43753.4324753248, 44765.9729697297, 46149.7550715507, 47632.082547325495, 48943.743776437805, 52242.888100380995, 53024.1411731617, 54907.2262952629]",55988.0,2.0,True,,0.979999986277608,0.98,0.0,54907.2262952629,31563.8325383254,43107.0,
26,CU:scenario_high,2020-04-16,30,2020-05-16,"[0.025, 0.1, 0.15, 0.05, 0.2, 0.85, 0.65, 0.01, 0.25, 0.9, 0.7, 0.35, 0.5, 0.3, 0.95, 0.55, 0.75, 0.4, 0.975, 0.6, 0.45, 0.99, 0.8]","[63942.0, 71926.0, 75645.0, 67442.0, 78996.0, 156466.0, 112710.0, 61981.0, 82698.0, 173685.0, 117219.0, 90342.0, 99565.0, 86491.0, 208636.0, 102433.0, 133641.0, 94375.0, 218623.0, 109280.0, 96202.0, 229828.0, 142904.0]",91792.0,5.0,True,-8.652320265758515,0.9799949999607768,0.98,1.0556815586149071e-05,229828.0,61981.0,99565.0,75.6532297675293
27,CU:select,2020-04-16,37,2020-05-23,"[0.025, 0.3, 0.35, 0.05, 0.1, 0.01, 0.15, 0.2, 0.4, 0.25, 0.85, 0.45, 0.65, 0.9, 0.7, 0.5, 0.95, 0.75, 0.55, 0.975, 0.8, 0.6, 0.99]","[61526.0, 80757.0, 85375.0, 64319.0, 69178.0, 59140.0, 71982.0, 75688.0, 88838.0, 77136.0, 143902.0, 91116.0, 105389.0, 155219.0, 109195.0, 94255.0, 191101.0, 122298.0, 96093.0, 196519.0, 130699.0, 102054.0, 210053.0]",100348.0,6.0,True,-9.449414390724158,0.9799974700161665,0.98,6.7778850753874575e-06,210053.0,59140.0,94255.0,112.69749519328808
28,CU:select,2020-04-16,16,2020-05-02,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.4, 0.6, 0.2, 0.45, 0.95, 0.65, 0.3, 0.7, 0.25, 0.35, 0.5, 0.975, 0.8, 0.55, 0.75, 0.99, 0.85, 0.9]","[48208.0, 49229.0, 50386.0, 52566.0, 55867.0, 63691.0, 73940.0, 56778.0, 65618.0, 108707.0, 74898.0, 59747.0, 77118.0, 58256.0, 62513.0, 68421.0, 116059.0, 81657.0, 70499.0, 79589.0, 124031.0, 88482.0, 92394.0]",69535.0,3.0,True,-7.11232833586747,0.9799926369649847,0.98,2.619621948446449e-05,124031.0,48208.0,68421.0,35.02857538424285
29,CU:scenario_high,2020-04-16,23,2020-05-09,"[0.025, 0.15, 0.01, 0.1, 0.25, 0.05, 0.2, 0.65, 0.3, 0.75, 0.7, 0.35, 0.5, 0.55, 0.99, 0.6, 0.4, 0.8, 0.85, 0.975, 0.9, 0.45, 0.95]","[57000.0, 65869.0, 55130.0, 62721.0, 69606.0, 58822.0, 67978.0, 93564.0, 71376.0, 103434.0, 96749.0, 75769.0, 83868.0, 86145.0, 177514.0, 89270.0, 79689.0, 110874.0, 122337.0, 166506.0, 128011.0, 82362.0, 160008.0]",81817.0,4.0,True,-7.347818357772291,0.9799974318836215,0.98,2.1467554094503627e-05,177514.0,55130.0,83868.0,39.405648890651044
30,CU:scenario_low,2020-04-16,23,2020-05-09,"[0.025, 0.15, 0.01, 0.1, 0.25, 0.05, 0.2, 0.65, 0.3, 0.75, 0.7, 0.35, 0.5, 0.55, 0.99, 0.6, 0.4, 0.8, 0.85, 0.975, 0.9, 0.45, 0.95]","[54616.0, 61713.0, 52576.0, 59423.0, 65060.0, 55925.0, 63618.0, 86467.0, 67491.0, 93431.0, 89232.0, 70267.0, 78108.0, 80393.0, 158199.0, 83661.0, 73669.0, 100027.0, 110246.0, 146336.0, 115551.0, 76848.0, 139067.0]",81817.0,4.0,True,-8.141382388163969,0.9799998992065275,0.98,1.4436513662480221e-05,158199.0,52576.0,78108.0,58.59745080889092
31,CU:scenario_mid,2020-04-16,37,2020-05-23,"[0.025, 0.3, 0.35, 0.05, 0.1, 0.01, 0.15, 0.2, 0.4, 0.25, 0.85, 0.45, 0.65, 0.9, 0.7, 0.5, 0.95, 0.75, 0.55, 0.975, 0.8, 0.6, 0.99]","[61526.0, 80757.0, 85375.0, 64319.0, 69178.0, 59140.0, 71982.0, 75688.0, 88838.0, 77136.0, 143902.0, 91116.0, 105389.0, 155219.0, 109195.0, 94255.0, 191101.0, 122298.0, 96093.0, 196519.0, 130699.0, 102054.0, 210053.0]",100348.0,6.0,True,-9.449414390724158,0.9799974700161665,0.98,6.7778850753874575e-06,210053.0,59140.0,94255.0,112.69749519328808
32,CU:scenario_low,2020-04-16,16,2020-05-02,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.4, 0.6, 0.2, 0.45, 0.95, 0.65, 0.3, 0.7, 0.25, 0.35, 0.5, 0.975, 0.8, 0.55, 0.75, 0.99, 0.85, 0.9]","[48076.0, 49044.0, 50125.0, 52230.0, 55614.0, 63551.0, 73341.0, 56560.0, 65262.0, 108020.0, 74686.0, 59444.0, 76534.0, 58047.0, 62203.0, 67912.0, 114983.0, 81023.0, 70131.0, 79025.0, 122734.0, 87378.0, 91887.0]",69535.0,3.0,True,-7.407634976174221,0.9799924581610805,0.98,2.2600268476891117e-05,122734.0,48076.0,67912.0,40.60200656164782
33,CU:scenario_low,2020-04-16,30,2020-05-16,"[0.025, 0.1, 0.15, 0.05, 0.2, 0.85, 0.65, 0.01, 0.25, 0.9, 0.7, 0.35, 0.5, 0.3, 0.95, 0.55, 0.75, 0.4, 0.975, 0.6, 0.45, 0.99, 0.8]","[57561.0, 63045.0, 66093.0, 59160.0, 68308.0, 123641.0, 95062.0, 55311.0, 69670.0, 128736.0, 97717.0, 76074.0, 84657.0, 71839.0, 159756.0, 86590.0, 103032.0, 80570.0, 168083.0, 90465.0, 83269.0, 180382.0, 111927.0]",91792.0,5.0,True,-8.780035444665145,0.979999051824578,0.98,9.903756097828786e-06,180382.0,55311.0,84657.0,80.64184812946488
