,model,forecast_date,delta,target_end_date,quantile,value,deaths,deltaW,proper,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
2194,Columbia_UNC:SurvCon,2020-07-26,41,2020-09-05,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[172678.0, 173838.0, 174733.0, 175730.0, 176580.0, 177297.0, 177814.0, 178280.0, 178809.0, 179206.0, 179667.0, 180094.0, 180442.0, 180943.0, 181342.0, 181915.0, 182626.0, 183403.0, 184189.0, 185233.0, 186574.0, 188009.0, 189270.0]",188608.0,6.0,True,-7.657054845503253,0.9799837949427933,0.98,1.2113633683030756e-05,189270.0,172678.0,180094.0,45.99475750683539
2195,IowaStateLW:STEM,2020-07-26,90,2020-10-24,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[183474.0, 184368.0, 185500.0, 187093.0, 188678.0, 190729.0, 192740.0, 194997.0, 197372.0, 200161.0, 202703.0, 205705.0, 209089.0, 212941.0, 216032.0, 221176.0, 226305.0, 231843.0, 235991.0, 243307.0, 251705.0, 254311.0, 256263.0]",225383.0,13.0,True,-7.941414927196987,0.9799824793797957,0.98,9.61271145996645e-06,256263.0,183474.0,205705.0,53.022028729160404
2196,CU:select,2020-07-26,27,2020-08-22,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[164057.0, 166312.0, 168406.0, 170475.0, 172215.0, 173692.0, 175226.0, 176715.0, 178029.0, 179550.0, 181214.0, 182628.0, 184355.0, 186279.0, 188407.0, 190322.0, 192803.0, 195830.0, 199575.0, 204841.0, 213985.0, 223464.0, 239425.0]",176380.0,4.0,True,-5.644341080346494,0.9799980441471705,0.98,3.426770844099092e-05,239425.0,164057.0,182628.0,16.813305049036966
2197,UA:EpiCovDA,2020-07-26,6,2020-08-01,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[152281.0, 152422.0, 152551.0, 152696.0, 152790.0, 152873.0, 152941.0, 153003.0, 153065.0, 153123.0, 153176.0, 153228.0, 153282.0, 153338.0, 153396.0, 153457.0, 153525.0, 153595.0, 153681.0, 153786.0, 153951.0, 154088.0, 154267.0]",155202.0,1.0,True,,0.9799266903237983,0.98,0.0,154267.0,152281.0,153228.0,
2198,IowaStateLW:STEM,2020-07-26,118,2020-11-21,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[191698.0, 192784.0, 194283.0, 196343.0, 198372.0, 201080.0, 203717.0, 206678.0, 209866.0, 213708.0, 217138.0, 221214.0, 226098.0, 231660.0, 235685.0, 243273.0, 250961.0, 259351.0, 265220.0, 276831.0, 290246.0, 293870.0, 297057.0]",255861.0,17.0,True,-8.855060122871802,0.9799881732342401,0.98,5.713587783423568e-06,297057.0,191698.0,221214.0,83.72436727210618
2199,CU:select,2020-07-26,13,2020-08-08,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[156129.0, 157194.0, 157981.0, 158802.0, 159383.0, 159858.0, 160342.0, 160732.0, 161198.0, 161621.0, 162106.0, 162559.0, 163058.0, 163552.0, 164132.0, 164725.0, 165362.0, 166182.0, 167275.0, 168607.0, 170824.0, 173128.0, 176568.0]",162470.0,2.0,True,-3.3998581783339086,0.9799973242148392,0.98,0.00010967468900364985,176568.0,156129.0,162559.0,5.47355924331973
2200,MITCovAlliance:SIR,2020-07-26,27,2020-08-22,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[143295.689073532, 144738.15342616301, 145507.8394165, 147380.665043852, 148113.901483069, 148735.097902837, 149525.06017843, 149976.405945935, 150562.65248761, 151261.90149586802, 152039.163658801, 152997.89025992, 154119.59715077598, 155573.19093179, 156319.101244411, 157244.858890502, 158545.38069289998, 159868.620972746, 164612.436427977, 178574.538632222, 233876.925606, 233876.925606, 233876.925606]",176380.0,4.0,True,-11.155436385512886,0.9695117162218079,0.98,2.178541929354072e-06,233876.925606,143295.689073532,152997.89025992,264.4674530182976
2201,IowaStateLW:STEM,2020-07-26,6,2020-08-01,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[152089.0, 152146.0, 152188.0, 152245.0, 152280.0, 152313.0, 152339.0, 152361.0, 152383.0, 152402.0, 152425.0, 152446.0, 152466.0, 152488.0, 152512.0, 152537.0, 152564.0, 152597.0, 152642.0, 152714.0, 152942.0, 153332.0, 153698.0]",155202.0,1.0,True,,0.9799180548161016,0.98,0.0,153698.0,152089.0,152446.0,
2202,Columbia_UNC:SurvCon,2020-07-26,27,2020-08-22,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[166572.0, 167352.0, 168036.0, 168771.0, 169292.0, 169699.0, 170124.0, 170429.0, 170714.0, 170988.0, 171187.0, 171494.0, 171805.0, 172055.0, 172326.0, 172722.0, 173090.0, 173586.0, 174131.0, 174715.0, 175527.0, 176473.0, 177090.0]",176380.0,4.0,True,-6.369463583554638,0.9799597777578795,0.98,2.3846613467159994e-05,177090.0,166572.0,171494.0,24.160807409541846
2203,OliverWyman:Navigator,2020-07-26,27,2020-08-22,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[167449.731432, 168210.595932, 169074.555932, 170276.104532, 171145.527932, 171872.192832, 172538.601632, 173173.915332, 173777.099232, 174314.059132, 174859.683732, 175430.162232, 176027.10113199998, 176634.525032, 177278.895432, 177920.68083199998, 178648.48223199998, 179483.119732, 180619.393632, 182013.70223199998, 184158.752932, 185942.564232, 188236.067032]",176380.0,4.0,True,-3.8906993445725933,0.9799887880309187,0.98,8.235377806820043e-05,188236.067032,167449.731432,175430.162232,6.996077761881233
2204,UCLA:SuEIR,2020-07-26,62,2020-09-26,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[185207.072209849, 186351.534551272, 187537.625300106, 189201.26216787897, 190342.943759613, 191554.78833823398, 192534.56806829802, 193421.818994075, 194408.842360678, 195271.571877515, 195987.841557398, 196689.789778261, 196774.846449385, 196774.846449385, 197046.876010049, 197486.099831817, 197804.744628102, 198101.362733372, 198467.60429564898, 200608.34205366301, 202790.26229729198, 204832.846905744, 209253.447452251]",204742.0,9.0,True,-8.81107126797334,0.9799954060776929,0.98,6.529193483983953e-06,209253.447452251,185207.072209849,196689.789778261,81.90300112713922
2205,Covid19Sim:Simulator,2020-07-26,76,2020-10-10,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[222095.918880277, 222570.41640969302, 222979.843852916, 223707.697213843, 224072.886770198, 224225.905665608, 224479.005208369, 224693.150681403, 225192.41439050002, 225393.01010135, 225680.54773725398, 225833.601051931, 226294.74039313602, 226614.770635954, 226928.011151093, 227520.35883337, 227807.735885956, 228923.592578044, 229454.973635462, 240503.30365246898, 242086.66402928, 243242.96765196102, 243900.83164439996]",214656.0,11.0,True,,0.9799571993301538,0.98,0.0,243900.83164439996,222095.918880277,225833.601051931,
2206,Columbia_UNC:SurvCon,2020-07-26,55,2020-09-19,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[176906.0, 178100.0, 179501.0, 180831.0, 181913.0, 182949.0, 183584.0, 184261.0, 184844.0, 185570.0, 186086.0, 186672.0, 187276.0, 187968.0, 188543.0, 189366.0, 190214.0, 191178.0, 192340.0, 193897.0, 196037.0, 197769.0, 199275.0]",199347.0,8.0,True,,0.97998311059884,0.98,0.0,199275.0,176906.0,186672.0,
2207,UCLA:SuEIR,2020-07-26,97,2020-10-31,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[194572.906899865, 197630.487751395, 199832.02330200397, 202401.60151181603, 204445.36495922698, 206064.10123840199, 207482.65321520198, 209026.14330363102, 210582.32622819897, 211679.964597385, 212766.063689295, 214006.67132185, 214103.07527067699, 214112.342002702, 214610.95153674102, 215406.293930625, 215869.203159395, 216345.34174882, 216962.710033029, 221004.21510600302, 223377.20338015602, 226985.96071055302, 233348.18936118102]",231123.0,14.0,True,-11.064319825328166,0.9799994186278287,0.98,1.991841234505465e-06,233348.18936118102,194572.906899865,214006.67132185,252.68910842753695
2208,UCLA:SuEIR,2020-07-26,83,2020-10-17,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[191751.29026897802, 193492.332450567, 195109.223824801, 197386.414210127, 199473.15195962, 200917.196648062, 201970.736190358, 203292.094131071, 204526.90354615898, 205630.84116684602, 206753.367052663, 207763.978549663, 207778.528985578, 207796.339609123, 208244.54510098, 208827.56896313603, 209290.29649526603, 209576.506146941, 209943.300002852, 213519.000304726, 215904.939463672, 218890.116951649, 224727.560451214]",219681.0,12.0,True,-9.747882748011712,0.9799974645446454,0.98,3.9458514620172025e-06,224727.560451214,191751.29026897802,207763.978549663,130.8355739324238
2209,Covid19Sim:Simulator,2020-07-26,111,2020-11-14,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[258821.597799202, 259030.457335507, 259598.467704965, 260398.174509073, 260837.5468179, 261057.888611041, 261418.567749205, 261772.41815803898, 262134.262676897, 262488.136461969, 262859.184792025, 263121.263438943, 263432.768745424, 264133.751116615, 264451.778042374, 264894.929783156, 265486.629468937, 266901.617555314, 268160.29260623397, 282352.0207413, 284684.563731377, 286779.102605014, 288668.939816695]",245591.0,16.0,True,,0.9799511165128103,0.98,0.0,288668.939816695,258821.597799202,263121.263438943,
2210,UCLA:SuEIR,2020-07-26,6,2020-08-01,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[152784.928051717, 152854.715222794, 152888.42001180802, 152917.78787095, 152940.296694739, 152968.336695857, 152996.859914715, 153023.329505507, 153047.469146785, 153070.730473225, 153096.90069470802, 153130.657730255, 153131.321595415, 153135.427775145, 153154.73278487302, 153173.627934304, 153200.37634328, 153227.60073772198, 153254.530634353, 153289.80617383, 153327.102633906, 153353.570912203, 153362.82994317802]",155202.0,1.0,True,,0.9772192778130053,0.98,0.0,153362.82994317802,152784.928051717,153130.657730255,
2211,Covid19Sim:Simulator,2020-07-26,27,2020-08-22,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[165284.776402814, 166090.715957682, 166785.304716427, 167343.99279351401, 167724.362815701, 167970.299449694, 168155.250073956, 168370.584374773, 168652.699909051, 168838.08175550902, 168951.388404486, 169148.416457985, 169311.548155043, 169585.66066973802, 169839.61554656198, 170258.998947023, 170526.87387820001, 170954.929203637, 171252.137229238, 175391.600359207, 176995.89397158698, 177413.574658962, 178106.13685963198]",176380.0,4.0,True,-5.654836187407644,0.9799952653192944,0.98,3.408835779419861e-05,178106.13685963198,165284.776402814,169148.416457985,16.901765665223504
2212,MITCovAlliance:SIR,2020-07-26,13,2020-08-08,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[142689.682873709, 143334.160715981, 143691.812738142, 144422.273993977, 145108.373989257, 145821.374347209, 146257.460118023, 146709.89077841, 147041.723112202, 147281.914310011, 147622.313519888, 147936.994907782, 148199.538787113, 148776.802082859, 149309.635079576, 149747.861716486, 150371.653295141, 151703.655441779, 152950.703710197, 159132.821036431, 188836.08214800002, 188836.08214800002, 188836.08214800002]",162470.0,2.0,True,-11.430634979632334,0.9695117058650273,0.98,1.9780869895680286e-06,188836.08214800002,142689.682873709,147936.994907782,303.48053999649335
2213,UCLA:SuEIR,2020-07-26,27,2020-08-22,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[168795.61376327, 169078.369038367, 169468.790720255, 169844.90575429, 170248.20957395, 170606.616212031, 170968.260312682, 171407.610810599, 171648.915549747, 171845.450750315, 172064.818535845, 172253.114030747, 172446.091192966, 172446.091192966, 172646.04141072198, 172772.734500881, 172971.756391827, 173175.58636133, 173330.426443319, 173700.28318177, 174321.526674172, 174956.616541822, 175911.256158753]",176380.0,4.0,True,,0.9799733131282878,0.98,0.0,175911.256158753,168795.61376327,172253.114030747,
2214,Covid19Sim:Simulator,2020-07-26,55,2020-09-19,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[198002.46477537398, 198524.262670379, 199385.13750445802, 199885.743654885, 200178.142469747, 200364.68923652603, 200595.47017458398, 200861.13438918, 201121.786984685, 201435.313703462, 201602.601106947, 201789.01538693698, 202231.407781546, 202456.46507543, 202686.22224916698, 203157.79971735898, 203597.501647388, 204110.09064111602, 204491.31206674103, 212851.517479307, 214760.577048223, 214947.12446616398, 215560.77858460802]",199347.0,8.0,True,-5.014132719189575,0.9799855931240662,0.98,4.417259231013007e-05,215560.77858460802,198002.46477537398,201789.01538693698,12.268884718388868
2215,UCM_MESALab:FoGSEIR,2020-07-26,27,2020-08-22,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[162439.0, 162597.0, 162798.0, 162997.0, 163142.0, 163245.0, 163350.0, 163439.0, 163516.0, 163587.0, 163665.0, 163749.0, 163814.0, 163889.0, 163968.0, 164045.0, 164125.0, 164215.0, 164345.0, 164502.0, 164752.0, 164986.0, 165404.0]",176380.0,4.0,True,,0.9799587128391798,0.98,0.0,165404.0,162439.0,163749.0,
2216,Covid19Sim:Simulator,2020-07-26,118,2020-11-21,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[265474.082701938, 265703.29215950397, 266328.92187093804, 267020.257824486, 267651.536852592, 267989.094026579, 268196.009100932, 268669.216637631, 269030.751365477, 269224.51396237104, 269794.11467688304, 269973.10246250103, 270327.953476743, 271104.335747379, 271459.554635385, 271799.03721166897, 272471.30335105304, 274055.57591441803, 275355.49721084104, 289985.058375185, 292555.713892112, 294870.935966191, 296906.486405926]",255861.0,17.0,True,,0.9799551719295387,0.98,0.0,296906.486405926,265474.082701938,269973.10246250103,
2217,Karlen:pypm,2020-07-26,27,2020-08-22,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[166775.2, 166989.3, 167501.6, 168256.1, 169130.8, 169482.2, 170141.0, 171824.0, 172364.6, 172794.6, 173424.5, 174134.0, 174764.6, 175121.4, 175416.0, 177338.5, 178284.0, 179799.2, 180957.8, 181916.7, 183683.1, 191460.9, 197093.4]",176380.0,4.0,True,-7.144921511693572,0.979958163006319,0.98,1.6182222290522796e-05,197093.4,166775.2,174134.0,35.60409843629867
2218,MITCovAlliance:SIR,2020-07-26,6,2020-08-01,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[141962.319928126, 142333.677439703, 142570.41031623198, 142914.481422131, 143229.349670801, 143611.103628203, 143890.215893059, 144027.205279456, 144231.796214216, 144393.493618635, 144515.378667197, 144699.601187079, 144845.743830814, 145043.239246707, 145313.686336648, 145592.012190722, 145948.040503703, 146463.551201235, 147176.342068059, 152828.537940353, 164116.74696, 164116.74696, 164116.74696]",155202.0,1.0,True,-11.107939238597872,0.969511588402125,0.98,2.378240714695501e-06,164116.74696,141962.319928126,144699.601187079,258.26072051552507
2219,IowaStateLW:STEM,2020-07-26,62,2020-09-26,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[174983.0, 175601.0, 176421.0, 177526.0, 178573.0, 179924.0, 181301.0, 182801.0, 184320.0, 186038.0, 187700.0, 189578.0, 191515.0, 193835.0, 195838.0, 198729.0, 201497.0, 204429.0, 207087.0, 210674.0, 214921.0, 216334.0, 217783.0]",204742.0,9.0,True,-6.694564727532549,0.9799792383261392,0.98,1.881278508730766e-05,217783.0,174983.0,189578.0,28.425378740909192
2220,UMass:MechBayes,2020-07-26,27,2020-08-22,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[161737.0, 162586.0, 163404.0, 164903.0, 165977.0, 166748.0, 167486.0, 168197.0, 168842.0, 169508.0, 170026.0, 170630.0, 171451.0, 172165.0, 172967.0, 173916.0, 174707.0, 175766.0, 177071.0, 178601.0, 180796.0, 182366.0, 185259.0]",176380.0,4.0,True,-5.42532419628633,0.9799944414947813,0.98,3.823349285950184e-05,185259.0,161737.0,170630.0,15.069338223087653
2221,UA:EpiCovDA,2020-07-26,27,2020-08-22,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[172134.0, 172633.0, 173077.0, 173709.0, 174173.0, 174524.0, 174808.0, 175048.0, 175257.0, 175448.0, 175635.0, 175808.0, 175980.0, 176156.0, 176346.0, 176555.0, 176781.0, 177063.0, 177445.0, 178043.0, 179069.0, 179777.0, 180526.0]",176380.0,4.0,True,-1.6982661169209345,0.9799736201288307,0.98,0.0002464701639902922,180526.0,172134.0,175808.0,2.337619393853015
2222,Covid19Sim:Simulator,2020-07-26,104,2020-11-07,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[251933.443510231, 252173.22275425, 252531.682292714, 253516.715021957, 253882.77034672198, 254112.79327755398, 254463.48727693397, 254690.847341521, 254974.08976628102, 255606.05425253898, 255745.647218684, 255980.70209842897, 256362.378608323, 256919.235699136, 257308.128115084, 257659.016744502, 258406.795999908, 259679.869389635, 260770.080569375, 274474.75298179, 276570.733420333, 278467.656761531, 280177.369673214]",238013.0,15.0,True,,0.9799601375751101,0.98,0.0,280177.369673214,251933.443510231,255980.70209842897,
2223,IowaStateLW:STEM,2020-07-26,111,2020-11-14,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[189670.0, 190707.0, 192109.0, 194052.0, 195971.0, 198520.0, 201021.0, 203771.0, 206820.0, 210346.0, 213555.0, 217370.0, 221905.0, 227038.0, 230803.0, 237771.0, 244832.0, 252478.0, 257894.0, 268405.0, 280556.0, 283936.0, 286876.0]",245591.0,16.0,True,-8.636634374506887,0.9799874300107816,0.98,6.504819883762503e-06,286876.0,189670.0,217370.0,75.06220631203095
2224,JHU_IDD:CovidSP,2020-07-26,27,2020-08-22,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[171796.81, 172425.725, 173249.25, 174627.9, 176010.95, 176988.2, 177893.0, 178556.3, 179035.5, 179644.0, 180088.6, 180893.5, 181401.25, 182088.0, 182643.1, 183212.4, 184017.0, 184667.6, 185880.95, 187050.2, 189657.05, 190882.475, 193278.14]",176380.0,4.0,True,-4.84042663264847,0.9799894812866274,0.98,5.122156781404985e-05,193278.14,171796.81,180893.5,11.248258496136929
2225,Karlen:pypm,2020-07-26,6,2020-08-01,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[144608.0, 144675.4, 144739.2, 144800.5, 144862.2, 144941.8, 145011.2, 145104.4, 145189.0, 145221.4, 145248.4, 145362.5, 145431.7, 145459.4, 145477.5, 145497.8, 145570.2, 145618.2, 145644.1, 145766.2, 145967.6, 146206.8, 146353.7]",155202.0,1.0,True,,0.9797786836037214,0.98,0.0,146353.7,144608.0,145362.5,
2226,JHU_IDD:CovidSP,2020-07-26,6,2020-08-01,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[150075.87, 150309.125, 150538.1, 150763.6, 150875.7, 150990.4, 151170.5, 151242.1, 151355.15, 151429.8, 151527.3, 151610.0, 151687.15, 151765.4, 151878.1, 152048.6, 152193.25, 152308.2, 152446.65, 152628.0, 152919.7, 153309.2, 153484.1]",155202.0,1.0,True,,0.979840553713758,0.98,0.0,153484.1,150075.87,151610.0,
2227,JHU_IDD:CovidSP,2020-07-26,13,2020-08-08,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[155952.97, 156602.125, 157053.2, 157501.3, 157934.35, 158294.6, 158618.0, 158926.5, 159111.0, 159361.4, 159520.9, 159688.5, 160040.45, 160240.0, 160456.0, 160756.9, 161132.75, 161346.0, 161637.3, 162141.3, 163030.15, 163906.675, 164750.05]",162470.0,2.0,True,-4.569750529931981,0.9799791355933352,0.98,6.110370090572914e-05,164750.05,155952.97,159688.5,9.824460693146953
2228,IowaStateLW:STEM,2020-07-26,27,2020-08-22,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[163050.0, 163361.0, 163691.0, 164124.0, 164516.0, 164965.0, 165463.0, 165957.0, 166417.0, 166893.0, 167385.0, 167934.0, 168466.0, 169050.0, 169672.0, 170291.0, 170903.0, 171487.0, 172160.0, 172940.0, 173664.0, 174209.0, 175112.0]",176380.0,4.0,True,,0.9799824878945875,0.98,0.0,175112.0,163050.0,167934.0,
2229,Columbia_UNC:SurvCon,2020-07-26,13,2020-08-08,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[157864.0, 158183.0, 158463.0, 158929.0, 159155.0, 159324.0, 159537.0, 159667.0, 159823.0, 159947.0, 160062.0, 160178.0, 160310.0, 160452.0, 160621.0, 160770.0, 160952.0, 161121.0, 161363.0, 161651.0, 162107.0, 162415.0, 162820.0]",162470.0,2.0,True,-4.971307472569269,0.9799695689746795,0.98,4.998854925564178e-05,162820.0,157864.0,160178.0,12.008968387623124
2230,UCLA:SuEIR,2020-07-26,55,2020-09-19,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[182544.10415258602, 183603.332418604, 184515.136132802, 185752.567484661, 186934.547186507, 188000.003527638, 188739.75339494602, 189667.309627127, 190417.79867428, 191250.240315523, 191895.540099229, 192434.806889611, 192589.65628741603, 192589.65628741603, 192785.26141119, 193250.83969240802, 193478.703316979, 193832.665937646, 194182.030361031, 195870.29452836802, 197809.566210167, 199537.756505728, 203325.47245683603]",199347.0,8.0,True,-8.170517921742668,0.9799964715116896,0.98,9.1149134431312e-06,203325.47245683603,182544.10415258602,192434.806889611,59.457332880519736
