,model,forecast_date,delta,target_end_date,quantile,value,cases,deltaW,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
28,COVIDhub:baseline,2020-04-27,54,2020-06-20,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[36104.0414329143, 100471.90117201199, 153809.256305063, 210195.0, 266419.682049321, 319147.727186272, 383492.627285273]",180575.0,8.0,-9.613534142512762,0.9499995037129133,0.95,4.65459178052019e-06,383492.627285273,36104.0414329143,210195.0,122.33547563751142
29,COVIDhub:baseline,2020-04-27,47,2020-06-13,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[45959.3265465154, 108563.69177491801, 158011.734317343, 210195.0, 262043.316810668, 311882.729702297, 373368.4550218]",147383.0,7.0,-10.332701325733495,0.9499995667711058,0.95,3.5960154105285635e-06,373368.4550218,45959.3265465154,210195.0,175.27403489884517
30,COVIDhub:baseline,2020-04-27,12,2020-05-09,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[120746.764123391, 150440.421936219, 192481.397541475, 210195.0, 227914.112568626, 269728.20898909, 299686.017763428]",177071.0,2.0,-10.13985854601945,0.9499958760390227,0.95,3.6128239393681816e-06,299686.017763428,120746.764123391,210195.0,159.16306982030514
31,COVIDhub:baseline,2020-04-27,5,2020-05-02,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[129429.475, 182698.2, 206380.25, 210195.0, 214009.75, 237691.8, 290960.525]",194339.0,1.0,-9.329391606629201,0.9499999999194841,0.95,5.171674653449421e-06,290960.525,129429.475,210195.0,106.13329491439842
32,COVIDhub:baseline,2020-05-04,40,2020-06-13,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[46751.4057200572, 102328.46368963699, 149251.980079801, 194385.0, 239504.21495715, 286235.703235032, 342314.478804038]",147383.0,6.0,-10.10831326655454,0.949999351773099,0.95,4.022969983245861e-06,342314.478804038,46751.4057200572,194385.0,156.67234237060669
33,COVIDhub:baseline,2020-05-04,26,2020-05-30,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[75030.2303825538, 116735.61580115801, 161642.580570806, 194385.0, 227108.54957799602, 271980.825636256, 313178.05344578397]",147204.0,4.0,-10.271226000610845,0.9499978342382356,0.95,3.710518762620185e-06,313178.05344578397,75030.2303825538,194385.0,169.96847867607352
34,COVIDhub:baseline,2020-05-04,5,2020-05-09,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[114548.125, 168931.0, 187358.75, 194385.0, 201411.25, 219839.0, 274221.875]",177071.0,1.0,-8.760338444367022,0.9499999999326032,0.95,7.201215073859846e-06,274221.875,114548.125,194385.0,79.85154491461589
35,COVIDhub:baseline,2020-05-04,47,2020-06-20,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[36618.8856323563, 95326.5684256843, 144319.51283762802, 194385.0, 243954.93470684698, 293194.309319093, 353032.225444504]",180575.0,7.0,-9.32201137722927,0.9499994427863425,0.95,5.384990759763064e-06,353032.225444504,36618.8856323563,194385.0,105.74237260036503
36,COVIDhub:baseline,2020-05-04,19,2020-05-23,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[91282.4953674537, 124930.904322043, 169462.147496475, 194385.0, 219287.31502065, 264024.009873099, 297836.775695507]",155140.0,3.0,-10.251092193179094,0.9499965363910812,0.95,3.6509387311631225e-06,297836.775695507,91282.4953674537,194385.0,168.26600605818803
37,COVIDhub:baseline,2020-05-04,33,2020-06-06,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[59910.18626486269, 109835.900349003, 154491.242787428, 194385.0, 234124.939161892, 279017.135500355, 329303.310354353]",146547.0,5.0,-10.0817195286686,0.9499989677448802,0.95,4.0884320016768005e-06,329303.310354353,59910.18626486269,194385.0,154.60287994360326
38,COVIDhub:baseline,2020-05-04,12,2020-05-16,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[105354.183468335, 138662.053618536, 177502.734062341, 194385.0, 211276.767217672, 250456.178694787, 283205.285872859]",158546.0,2.0,-10.329133087433995,0.9499968612163111,0.95,3.473301058848355e-06,283205.285872859,105354.183468335,194385.0,174.9616039266428
39,COVIDhub:baseline,2020-05-04,54,2020-06-27,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[25839.8810435604, 88751.4350913509, 140224.491754917, 194385.0, 248191.095708457, 300498.73087430897, 363575.01128536294]",254712.0,8.0,-9.854917802093297,0.9499994702796335,0.95,3.4735208601921475e-06,363575.01128536294,25839.8810435604,194385.0,138.02832269877777
40,COVIDhub:baseline,2020-05-11,54,2020-07-04,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[11751.4427864279, 73654.1614076141, 124212.32170821699, 177011.0, 229320.46136711398, 279535.219548196, 341589.990203402]",330732.0,8.0,-12.842665819294087,0.949999538933145,0.95,6.843452657334659e-07,341589.990203402,11751.4427864279,177011.0,614.8220704758446
41,COVIDhub:baseline,2020-05-11,33,2020-06-13,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[47100.2349900999, 94374.0443614436, 138675.146206462, 177011.0, 215250.598370984, 259866.76572765698, 308248.232319323]",147383.0,5.0,-9.302458027585189,0.9499987597392299,0.95,6.019162025069913e-06,308248.232319323,47100.2349900999,177011.0,104.71360098575315
42,COVIDhub:baseline,2020-05-11,26,2020-06-06,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[61384.505825308304, 102021.32021420199, 144682.936166862, 177011.0, 209406.638061381, 252038.13186031897, 293048.11399289]",146547.0,4.0,-9.47379417716062,0.9499979840527869,0.95,5.54071857279681e-06,293048.11399289,61384.505825308304,177011.0,114.07967280925533
43,COVIDhub:baseline,2020-05-11,19,2020-05-30,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[75847.6449419494, 110648.409081091, 152584.827468275, 177011.0, 201423.060390604, 243213.210053101, 278409.080154801]",147204.0,3.0,-9.750024028037863,0.9499970484702513,0.95,4.8151764059575775e-06,278409.080154801,75847.6449419494,177011.0,130.97572674622705
44,COVIDhub:baseline,2020-05-11,40,2020-06-20,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[34279.1413576636, 87830.9376473765, 133010.228692287, 177011.0, 220739.621321213, 266482.753253532, 320536.113799388]",180575.0,6.0,-9.130818557541485,0.9499992758774063,0.95,5.925185559141344e-06,320536.113799388,34279.1413576636,177011.0,96.1019184436997
45,COVIDhub:baseline,2020-05-11,47,2020-06-27,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[22961.058975339798, 80535.0471514715, 128605.898703987, 177011.0, 225312.924804248, 273106.216569166, 331583.943875439]",254712.0,7.0,-10.140244005424957,0.9499994520655275,0.95,3.0117028057274897e-06,331583.943875439,22961.058975339798,177011.0,159.19374822766613
46,COVIDhub:baseline,2020-05-11,12,2020-05-23,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[88377.0682634326, 125233.950643506, 159862.433129331, 177011.0, 194172.419449195, 228915.56661866602, 265678.222403474]",155140.0,2.0,-9.228529369715428,0.9499982703952095,0.95,6.087671940643857e-06,265678.222403474,88377.0682634326,177011.0,100.91359794775555
47,COVIDhub:baseline,2020-05-11,5,2020-05-16,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[98102.775, 153599.8, 166584.5, 177011.0, 187437.5, 200422.2, 255919.225]",158546.0,1.0,-8.03569680140317,0.9499999999476704,0.95,1.0933413932295855e-05,255919.225,98102.775,177011.0,55.58138820493818
48,COVIDhub:baseline,2020-05-18,19,2020-06-06,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[57959.8597085971, 94335.98038080381, 133886.86097111, 158270.0, 182503.91274412698, 222027.688601886, 258831.291092661]",146547.0,3.0,-8.021332733809217,0.9499975977894135,0.95,1.1454182192588425e-05,258831.291092661,57959.8597085971,158270.0,55.1836308594621
49,COVIDhub:baseline,2020-05-18,12,2020-05-30,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[70606.5263702637, 109777.091579916, 140328.784192842, 158270.0, 176270.544372944, 206227.949503495, 246310.48108331102]",147204.0,2.0,-7.541287692890969,0.9499997690242861,0.95,1.4528915685763089e-05,246310.48108331102,70606.5263702637,158270.0,43.40800392967904
50,COVIDhub:baseline,2020-05-18,5,2020-05-23,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[80290.425, 136901.6, 144254.5, 158270.0, 172285.5, 179638.4, 236249.575]",155140.0,1.0,-7.123349397611675,0.9499999999663342,0.95,1.7441557469397018e-05,236249.575,80290.425,158270.0,35.22213424654699
51,COVIDhub:baseline,2020-05-18,33,2020-06-20,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[31206.451177761803, 77982.9751117511, 120666.083393334, 158270.0, 195784.44093690897, 238722.22588325897, 285404.968343933]",180575.0,5.0,-8.817509433725569,0.9499987622299603,0.95,6.930046800079914e-06,285404.968343933,31206.451177761803,158270.0,82.1670784909883
52,COVIDhub:baseline,2020-05-18,40,2020-06-27,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[18754.578827038302, 70657.4225132251, 115378.58832338301, 158270.0, 200881.079180792, 245974.26891768898, 298366.913097131]",254712.0,6.0,-11.028205283650639,0.949999170554303,0.95,1.931940611404892e-06,298366.913097131,18754.578827038302,158270.0,248.16718244920017
53,COVIDhub:baseline,2020-05-18,26,2020-06-13,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[45034.0740284903, 85471.86917669179, 125942.677194272, 158270.0, 190364.486884869, 231501.34193441898, 272096.044488945]",147383.0,4.0,-8.584548469885245,0.9499981042108452,0.95,8.618429107751235e-06,272096.044488945,45034.0740284903,158270.0,73.13260023162465
