,model,forecast_date,delta,target_end_date,quantile,value,cases,deltaW,proper,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
2082,UCLA:SuEIR,2020-10-18,20,2020-11-07,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[153406.186653026, 196255.726435783, 221239.54056220897, 250337.256464625, 283429.761095826, 318062.942088413, 377822.33846751205]",766435.0,3.0,True,,0.9499999999212453,0.95,0.0,377822.33846751205,153406.186653026,250337.256464625,
2083,QJHong:Encounter,2020-10-18,34,2020-11-21,"[0.1, 0.9]","[529718.4, 720854.0]",1186501.0,5.0,False,,0.7999916289952439,0.8,0.0,720854.0,529718.4,625286.2,
2084,Karlen:pypm,2020-10-18,34,2020-11-21,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[581613.7, 607101.8, 675156.7, 728543.1, 775545.5, 814719.0, 878120.8]",1186501.0,5.0,True,,0.9499984280550733,0.95,0.0,878120.8,581613.7,728543.1,
2085,OliverWyman:Navigator,2020-10-18,20,2020-11-07,[0.5],[604544.0],766435.0,3.0,False,,,0.0,0.0,604544.0,604544.0,604544.0,
2086,UCLA:SuEIR,2020-10-18,27,2020-11-14,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[142185.84376609302, 169907.275894089, 197656.767011493, 226567.537715448, 243764.941252269, 276366.09364608896, 337832.613663394]",1018002.0,4.0,True,,0.9499993217757704,0.95,0.0,337832.613663394,142185.84376609302,226567.537715448,
2087,Columbia_UNC:SurvCon,2020-10-18,34,2020-11-21,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[468594.71, 507064.44, 542325.69, 577061.82, 614580.89, 647640.84, 679076.53]",1186501.0,5.0,True,,0.9499976204247509,0.95,0.0,679076.53,468594.71,577061.82,
2088,Covid19Sim:Simulator,2020-10-18,34,2020-11-21,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[200333.690880211, 205421.976211408, 221861.858472383, 232301.213919854, 245867.97185390603, 245867.97185390603, 249141.75871879602]",1186501.0,5.0,True,,0.9499919659273132,0.95,0.0,249141.75871879602,200333.690880211,232301.213919854,
2089,BPagano:RtDriven,2020-10-18,34,2020-11-21,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[187305.74076, 321713.78158, 443863.93373999995, 580030.54115, 716197.14856, 838347.3007199999, 972755.34155]",1186501.0,5.0,True,,0.9499995859932866,0.95,0.0,972755.34155,187305.74076,580030.54115,
2090,IowaStateLW:STEM,2020-10-18,27,2020-11-14,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[236220.0, 241254.0, 255776.0, 278672.0, 309965.0, 332830.0, 349466.0]",1018002.0,4.0,True,,0.9499864962336517,0.95,0.0,349466.0,236220.0,278672.0,
2091,LNQ:ens1,2020-10-18,20,2020-11-07,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[238368.00893335, 351189.345194125, 412832.26427504397, 470833.797151962, 516549.08380196, 583808.065480756, 736788.3416774591]",766435.0,3.0,True,,0.9499999999892901,0.95,0.0,736788.3416774591,238368.00893335,470833.797151962,
