date,location,location_name,value
2020-11-18,US,US,173251
2020-11-19,US,US,191510
2020-11-20,US,US,198333
2020-11-21,US,US,179436
2020-11-22,US,US,146947
2020-11-23,US,US,174089
2020-11-24,US,US,175544
2020-11-25,US,US,183403
2020-11-26,US,US,112526
2020-11-27,US,US,207933
2020-11-28,US,US,155661
2020-11-29,US,US,140328
2020-11-30,US,US,160321
2020-12-01,US,US,188339
2020-12-02,US,US,202894
2020-12-03,US,US,223421
2020-12-04,US,US,232644
2020-12-05,US,US,215811
2020-12-06,US,US,181253
2020-12-07,US,US,194409
2020-12-08,US,US,224452
2020-12-09,US,US,222648
2020-12-10,US,US,231428
2020-12-11,US,US,240089
2020-12-12,US,US,217797
2020-12-13,US,US,187971
2020-12-14,US,US,194314
2020-12-15,US,US,208992
2020-12-16,US,US,246644
2020-12-17,US,US,239900
2020-12-18,US,US,251832
2020-12-19,US,US,192102
2020-12-20,US,US,188015
2020-12-21,US,US,198703
2020-12-22,US,US,198107
2020-12-23,US,US,229624
2020-12-24,US,US,194155
2020-12-25,US,US,97880
2020-12-26,US,US,226416
2020-12-27,US,US,155845
2020-12-28,US,US,174152
2020-12-29,US,US,200408
2020-12-30,US,US,233701
2020-12-31,US,US,235600
2021-01-01,US,US,153916
2021-01-02,US,US,300462
2021-01-03,US,US,208853
2021-01-04,US,US,184005
2021-01-05,US,US,235042
2021-01-06,US,US,255637
2021-01-07,US,US,278337
2021-01-08,US,US,295257
2021-01-09,US,US,260967
2021-01-10,US,US,213415
2021-01-11,US,US,214664
2021-01-12,US,US,226967
2021-01-13,US,US,230301
2021-01-14,US,US,235766
2021-01-15,US,US,242780
2021-01-16,US,US,201858
2021-01-17,US,US,177931
2021-01-18,US,US,143598
2021-01-19,US,US,176216
2021-01-20,US,US,183261
2021-01-21,US,US,193856
2021-01-22,US,US,190760
2021-01-23,US,US,170759
2021-01-24,US,US,131198
2021-01-25,US,US,151677
2021-01-26,US,US,147626
2021-01-27,US,US,153961
2021-01-28,US,US,168804
2021-01-29,US,US,166613
2021-01-30,US,US,142459
2021-01-31,US,US,112152
2021-02-01,US,US,134975
2021-02-02,US,US,115303
2021-02-03,US,US,121691
2021-02-04,US,US,124006
2021-02-05,US,US,134422
2021-02-06,US,US,104176
2021-02-07,US,US,89746
2021-02-08,US,US,90438
2021-02-09,US,US,95265
2021-02-10,US,US,95250
2021-02-11,US,US,105764
2021-02-12,US,US,99670
2021-02-13,US,US,87219
2021-02-14,US,US,65135
2021-02-15,US,US,54279
2021-02-16,US,US,62498
2021-02-17,US,US,70139
2021-02-18,US,US,69911
2021-02-19,US,US,79282
2021-02-20,US,US,71696
2021-02-21,US,US,57152
2021-02-22,US,US,56159
2021-02-23,US,US,72270
2021-02-24,US,US,74749
2021-02-25,US,US,77504
2021-02-26,US,US,77349
2021-02-27,US,US,64626
2021-02-28,US,US,51422
2021-03-01,US,US,58098
2021-03-02,US,US,57098
2021-03-03,US,US,67191
2021-03-04,US,US,68060
2021-03-05,US,US,66419
2021-03-06,US,US,58254
2021-03-07,US,US,41073
2021-03-08,US,US,44917
2021-03-09,US,US,57667
2021-03-10,US,US,57895
2021-03-11,US,US,62471
2021-03-12,US,US,61513
2021-03-13,US,US,53031
2021-03-14,US,US,38278
2021-03-15,US,US,56541
2021-03-16,US,US,54008
2021-03-17,US,US,59280
2021-03-18,US,US,60375
2021-03-19,US,US,61651
2021-03-20,US,US,55519
2021-03-21,US,US,33822
2021-03-22,US,US,51436
2021-03-23,US,US,53688
2021-03-24,US,US,86938
2021-03-25,US,US,67546
2021-03-26,US,US,77377
2021-03-27,US,US,62842
2021-03-28,US,US,43223
2021-03-29,US,US,69273
2021-03-30,US,US,61429
2021-03-31,US,US,66765
2021-04-01,US,US,79119
2021-04-02,US,US,69887
2021-04-03,US,US,63261
2021-04-04,US,US,35133
2021-04-05,US,US,77404
2021-04-06,US,US,60674
2021-04-07,US,US,75021
2021-04-08,US,US,79894
2021-04-09,US,US,82710
2021-04-10,US,US,66687
2021-04-11,US,US,46509
2021-04-12,US,US,70075
2021-04-13,US,US,77966
2021-04-14,US,US,75403
2021-04-15,US,US,74308
2021-04-16,US,US,80071
2021-04-17,US,US,52532
2021-04-18,US,US,42121
2021-04-19,US,US,68105
2021-04-20,US,US,60949
2021-04-21,US,US,62855
2021-04-22,US,US,67278
2021-04-23,US,US,62411
2021-04-24,US,US,53495
2021-04-25,US,US,32153
2021-04-26,US,US,47568
2021-04-27,US,US,50836
2021-04-28,US,US,55150
2021-04-29,US,US,58251
2021-04-30,US,US,57919
2021-05-01,US,US,45391
2021-05-02,US,US,29403
2021-05-03,US,US,50491
2021-05-04,US,US,40723
2021-05-05,US,US,44704
2021-05-06,US,US,47557
2021-05-07,US,US,48130
2021-05-08,US,US,33675
2021-05-09,US,US,21427
2021-05-10,US,US,36798
2021-05-11,US,US,33662
2021-05-12,US,US,35826
2021-05-13,US,US,38076
2021-05-14,US,US,42260
2021-05-15,US,US,28857
2021-05-16,US,US,16875
2021-05-17,US,US,28621
2021-05-18,US,US,27789
2021-05-19,US,US,29301
2021-05-20,US,US,30206
2021-05-21,US,US,27946
2021-05-22,US,US,19798
2021-05-23,US,US,12868
2021-05-24,US,US,25815
2021-05-25,US,US,22739
2021-05-26,US,US,23976
2021-05-27,US,US,27448
2021-05-28,US,US,21859
2021-05-29,US,US,12001
2021-05-30,US,US,6734
2021-05-31,US,US,5775
2021-06-01,US,US,22940
2021-06-02,US,US,16917
2021-06-03,US,US,19080
2021-06-04,US,US,16850
2021-06-05,US,US,13906
2021-06-06,US,US,5395
2021-06-07,US,US,15496
2021-06-08,US,US,13013
2021-06-09,US,US,18647
2021-06-10,US,US,14545
2021-06-11,US,US,24699
2021-06-12,US,US,8228
2021-06-13,US,US,4777
2021-06-14,US,US,12730
2021-06-15,US,US,11305
2021-06-16,US,US,12425
2021-06-17,US,US,10393
2021-06-18,US,US,20591
2021-06-19,US,US,8520
2021-06-20,US,US,3892
2021-06-21,US,US,12334
2021-06-22,US,US,10940
2021-06-23,US,US,12436
2021-06-24,US,US,12830
2021-06-25,US,US,23715
2021-06-26,US,US,7303
2021-06-27,US,US,3920
2021-06-28,US,US,15083
2021-06-29,US,US,11350
2021-06-30,US,US,13118
2021-07-01,US,US,14463
2021-07-02,US,US,29892
2021-07-03,US,US,4739
2021-07-04,US,US,3697
2021-07-05,US,US,5528
2021-07-06,US,US,24224
2021-07-07,US,US,22931
2021-07-08,US,US,20061
2021-07-09,US,US,48241
2021-07-10,US,US,9038
2021-07-11,US,US,6164
2021-07-12,US,US,35013
2021-07-13,US,US,26424
2021-07-14,US,US,31845
2021-07-15,US,US,28412
2021-07-16,US,US,79310
2021-07-17,US,US,12960
2021-07-18,US,US,12048
2021-07-19,US,US,52111
2021-07-20,US,US,42703
2021-07-21,US,US,52032
2021-07-22,US,US,56842
2021-07-23,US,US,119158
2021-07-24,US,US,27802
2021-07-25,US,US,13213
2021-07-26,US,US,89358
2021-07-27,US,US,70740
2021-07-28,US,US,68771
2021-07-29,US,US,78170
2021-07-30,US,US,194608
2021-07-31,US,US,32808
2021-08-01,US,US,25141
2021-08-02,US,US,127976
2021-08-03,US,US,106557
2021-08-04,US,US,92714
2021-08-05,US,US,109824
2021-08-06,US,US,254981
2021-08-07,US,US,44082
2021-08-08,US,US,24234
