,model,forecast_date,delta,target_end_date,quantile,value,deaths,deltaW,score,sumpdf,prange,p,CIHI,CILO,PE
1819,IHME:CurveFit,2020-04-01,122,2020-08-01,"[0.025, 0.975]","[39965.8, 177865.725]",155149,18.0,-8.981136425446874,0.9499862218968079,0.95,6.889050036262834e-06,177865.725,39965.8,108915.76250000001
4271,IHME:CurveFit,2020-04-01,10,2020-04-11,"[0.025, 0.975]","[17493.9, 26631.35]",25481,2.0,-5.3591959329797705,0.9497920542846281,0.95,0.00010397285761187813,26631.35,17493.9,22062.625
624,IHME:CurveFit,2020-04-01,87,2020-06-27,"[0.025, 0.975]","[39965.8, 177092.25]",126448,13.0,-9.174434067258243,0.9499861441290955,0.95,6.927934891987064e-06,177092.25,39965.8,108529.025
4549,IHME:CurveFit,2020-04-01,45,2020-05-16,"[0.025, 0.975]","[39311.125, 151523.225]",91697,7.0,-9.094755016478747,0.9499830677648748,0.95,8.466117705774323e-06,151523.225,39311.125,95417.175
4811,IHME:CurveFit,2020-04-01,59,2020-05-30,"[0.025, 0.975]","[39912.15, 168684.35]",106926,9.0,-9.216414592396013,0.9499852452427123,0.95,7.377380175810355e-06,168684.35,39912.15,104298.25
243,IHME:CurveFit,2020-04-01,73,2020-06-13,"[0.025, 0.975]","[39965.8, 174871.175]",118220,11.0,-9.209059159981507,0.9499859160128127,0.95,7.041992513279194e-06,174871.175,39965.8,107418.48749999999
835,IHME:CurveFit,2020-04-01,94,2020-07-04,"[0.025, 0.975]","[39965.8, 177560.225]",130069,14.0,-9.153014362265832,0.9499861912614803,0.95,6.9043708301186335e-06,177560.225,39965.8,108763.01250000001
4319,IHME:CurveFit,2020-04-01,24,2020-04-25,"[0.025, 0.975]","[32426.175, 84874.475]",55953,4.0,-8.067597153847156,0.9499637736425257,0.95,1.8113178767542593e-05,84874.475,32426.175,58650.325000000004
1065,IHME:CurveFit,2020-04-01,101,2020-07-11,"[0.025, 0.975]","[39965.8, 177793.25]",135314,15.0,-9.11686534881066,0.9499862146039563,0.95,6.8926988180950666e-06,177793.25,39965.8,108879.525
65,IHME:CurveFit,2020-04-01,66,2020-06-06,"[0.025, 0.975]","[39959.875, 172550.275]",112954,10.0,-9.220007465413687,0.9499856701129522,0.95,7.1649445659571764e-06,172550.275,39959.875,106255.075
4274,Imperial:ensemble2,2020-04-05,6,2020-04-11,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[21452.0, 21505.0, 21552.0, 21617.0, 21665.0, 21711.0, 21760.0, 21834.0, 23391.0, 23988.0, 24407.0, 24768.0, 25150.0, 25549.0, 26131.0, 27105.0, 27344.0, 27505.0, 27668.0, 27836.0, 28049.0, 28224.0, 28406.0]",25481,1.0,-5.146779903572342,0.9798457306697588,0.98,0.00011562334651060713,28406.0,21452.0,24768.0
4273,Imperial:ensemble1,2020-04-05,6,2020-04-11,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[21452.0, 21505.0, 21552.0, 21617.0, 21665.0, 21711.0, 21760.0, 21834.0, 23301.0, 23785.0, 24062.0, 24309.0, 24556.0, 24846.0, 25339.0, 26532.0, 26791.0, 26979.0, 27146.0, 27324.0, 27541.0, 27720.0, 27928.0]",25481,1.0,-6.973366722978551,0.9798693818705343,0.98,4.638817073060464e-05,27928.0,21452.0,24309.0
4272,IHME:CurveFit,2020-04-05,6,2020-04-11,"[0.025, 0.975]","[20173.275, 31681.375]",25481,1.0,-5.820616616324739,0.949834897462437,0.95,8.25512686826596e-05,31681.375,20173.275,25927.325
4814,IHME:CurveFit,2020-04-09,51,2020-05-30,"[0.025, 0.975]","[26486.8, 153633.6]",106926,8.0,-9.191015589743927,0.9499850566691024,0.95,7.471666653574571e-06,153633.6,26486.8,90060.2
1561,IHME:CurveFit,2020-04-09,107,2020-07-25,"[0.025, 0.975]","[26486.8, 155314.525]",147184,16.0,-8.897737659308564,0.9499852516558266,0.95,7.374173316365695e-06,155314.525,26486.8,90900.66249999999
1310,IHME:CurveFit,2020-04-09,100,2020-07-18,"[0.025, 0.975]","[26486.8, 155314.525]",140775,15.0,-8.942258292902682,0.9499852516558266,0.95,7.374173316365695e-06,155314.525,26486.8,90900.66249999999
4451,IHME:CurveFit,2020-04-09,30,2020-05-09,"[0.025, 0.975]","[26086.725, 127768.925]",81719,5.0,-9.012878860857892,0.9499813142959757,0.95,9.342853209026725e-06,127768.925,26086.725,76927.825
4377,IHME:CurveFit,2020-04-09,23,2020-05-02,"[0.025, 0.975]","[25305.475, 108520.9]",69415,4.0,-8.775241092922691,0.9499771678508279,0.95,1.1416073831954643e-05,108520.9,25305.475,66913.1875
4290,IHME:CurveFit,2020-04-09,9,2020-04-18,"[0.025, 0.975]","[20718.975, 62054.8]",40533,2.0,-7.9138159261714955,0.9499540352230549,0.95,2.29823882330199e-05,62054.8,20718.975,41386.8875
4552,IHME:CurveFit,2020-04-09,37,2020-05-16,"[0.025, 0.975]","[26383.75, 142259.025]",91697,6.0,-9.158999185767694,0.949983603019737,0.95,8.198489751892746e-06,142259.025,26383.75,84321.3875
68,IHME:CurveFit,2020-04-09,58,2020-06-06,"[0.025, 0.975]","[26486.8, 154864.45]",112954,9.0,-9.155426640128951,0.9499851998382445,0.95,7.400079453490083e-06,154864.45,26486.8,90675.625
4322,IHME:CurveFit,2020-04-09,16,2020-04-25,"[0.025, 0.975]","[23648.7, 87033.0749999999]",55953,3.0,-8.446375676051108,0.949970023980525,0.95,1.4988009592320495e-05,87033.0749999999,23648.7,55340.887499999946
4675,IHME:CurveFit,2020-04-09,44,2020-05-23,"[0.025, 0.975]","[26470.775, 150175.5]",100275,7.0,-9.200347787603228,0.9499846408816146,0.95,7.679560244111538e-06,150175.5,26470.775,88323.1375
1068,IHME:CurveFit,2020-04-09,93,2020-07-11,"[0.025, 0.975]","[26486.8, 155314.525]",135314,14.0,-8.98182316046518,0.9499852516558266,0.95,7.37417331633794e-06,155314.525,26486.8,90900.66249999999
246,IHME:CurveFit,2020-04-09,65,2020-06-13,"[0.025, 0.975]","[26486.8, 155230.45]",118220,10.0,-9.115553844221893,0.9499852419174711,0.95,7.37904196732031e-06,155230.45,26486.8,90858.625
838,IHME:CurveFit,2020-04-09,86,2020-07-04,"[0.025, 0.975]","[26486.8, 155314.525]",130069,13.0,-9.02135608516518,0.9499852516558266,0.95,7.374173316365695e-06,155314.525,26486.8,90900.66249999999
433,IHME:CurveFit,2020-04-09,72,2020-06-20,"[0.025, 0.975]","[26486.8, 155307.525]",122496,11.0,-9.081234112684236,0.9499852508536496,0.95,7.37457402127939e-06,155307.525,26486.8,90897.16249999999
1822,IHME:CurveFit,2020-04-09,114,2020-08-01,"[0.025, 0.975]","[26486.8, 155314.525]",155149,17.0,-8.845035218545192,0.9499852516558266,0.95,7.374173316365695e-06,155314.525,26486.8,90900.66249999999
627,IHME:CurveFit,2020-04-09,79,2020-06-27,"[0.025, 0.975]","[26486.8, 155314.525]",126448,12.0,-9.049590007588275,0.9499852516558266,0.95,7.37417331633794e-06,155314.525,26486.8,90900.66249999999
1562,IHME:CurveFit,2020-04-12,104,2020-07-25,"[0.025, 0.975]","[30188.0, 175964.7]",147184,15.0,-9.144937410188373,0.9499869663912195,0.95,6.516803062212029e-06,175964.7,30188.0,103076.35
4293,Imperial:ensemble2,2020-04-12,6,2020-04-18,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[36644.0, 36702.0, 36753.0, 36823.0, 36874.0, 36924.0, 36978.0, 37055.0, 38259.0, 38652.0, 38860.0, 39038.0, 39218.0, 39417.0, 39762.0, 42894.0, 43126.0, 43282.0, 43427.0, 43576.0, 43778.0, 43936.0, 44114.0]",40533,1.0,-9.09720921540394,0.9798633052107929,0.98,1.2718168338449187e-05,44114.0,36644.0,39038.0
4282,CU:select,2020-04-12,6,2020-04-18,"[0.01, 0.15, 0.025, 0.2, 0.05, 0.25, 0.55, 0.85, 0.5, 0.8, 0.1, 0.3, 0.6, 0.9, 0.975, 0.4, 0.99, 0.7, 0.65, 0.95, 0.45, 0.75, 0.35]","[22123.0, 25124.0, 22813.0, 26043.0, 23264.0, 26435.0, 31153.0, 38255.0, 30768.0, 36335.0, 24505.0, 27427.0, 32101.0, 40033.0, 46519.0, 28897.0, 55641.0, 33617.0, 32745.0, 44118.0, 29355.0, 35030.0, 28022.0]",40533,1.0,-8.683226864236381,0.9799993067688808,0.98,1.5642987360425797e-05,55641.0,22123.0,30768.0
4281,CU:scenario_mid,2020-04-12,6,2020-04-18,"[0.01, 0.15, 0.025, 0.2, 0.05, 0.25, 0.55, 0.85, 0.5, 0.8, 0.1, 0.3, 0.6, 0.9, 0.975, 0.4, 0.99, 0.7, 0.65, 0.95, 0.45, 0.75, 0.35]","[22123.0, 25124.0, 22813.0, 26043.0, 23264.0, 26435.0, 31153.0, 38255.0, 30768.0, 36335.0, 24505.0, 27427.0, 32101.0, 40033.0, 46519.0, 28897.0, 55641.0, 33617.0, 32745.0, 44118.0, 29355.0, 35030.0, 28022.0]",40533,1.0,-8.683226864236381,0.9799993067688808,0.98,1.5642987360425797e-05,55641.0,22123.0,30768.0
4280,CU:scenario_low,2020-04-12,6,2020-04-18,"[0.01, 0.15, 0.025, 0.2, 0.05, 0.25, 0.55, 0.85, 0.5, 0.8, 0.1, 0.3, 0.6, 0.9, 0.975, 0.4, 0.99, 0.7, 0.65, 0.95, 0.45, 0.75, 0.35]","[19454.0, 22008.0, 19901.0, 22443.0, 20782.0, 22777.0, 26496.0, 32613.0, 26030.0, 30849.0, 21589.0, 23731.0, 27266.0, 33734.0, 38850.0, 24952.0, 44988.0, 28378.0, 27727.0, 36347.0, 25717.0, 29416.0, 24127.0]",40533,1.0,-11.694530757986353,0.9799823490829616,0.98,3.470750238682152e-06,44988.0,19454.0,26030.0
4279,CU:scenario_high,2020-04-12,6,2020-04-18,"[0.01, 0.15, 0.025, 0.2, 0.05, 0.25, 0.55, 0.85, 0.5, 0.8, 0.1, 0.3, 0.6, 0.9, 0.975, 0.4, 0.99, 0.7, 0.65, 0.95, 0.45, 0.75, 0.35]","[24984.0, 29241.0, 25548.0, 30212.0, 26807.0, 30921.0, 37374.0, 45472.0, 36272.0, 44374.0, 27884.0, 31590.0, 38065.0, 47967.0, 58684.0, 33980.0, 69831.0, 40621.0, 38878.0, 55265.0, 34337.0, 41349.0, 32569.0]",40533,1.0,-6.857155060962001,0.9799856597508493,0.98,3.898038715655083e-05,69831.0,24984.0,36272.0
4292,Imperial:ensemble1,2020-04-12,6,2020-04-18,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[36644.0, 36702.0, 36753.0, 36823.0, 36874.0, 36924.0, 36978.0, 37055.0, 38031.0, 38398.0, 38603.0, 38773.0, 38950.0, 39154.0, 39550.0, 41658.0, 41874.0, 42019.0, 42157.0, 42295.0, 42477.0, 42619.0, 42782.0]",40533,1.0,-9.605346526137264,0.9798600939419059,0.98,9.864701629225259e-06,42782.0,36644.0,38773.0
4291,IHME:CurveFit,2020-04-12,6,2020-04-18,"[0.025, 0.975]","[24070.575, 60323.05]",40533,1.0,-7.651337448586678,0.9499475890982715,0.95,2.620545073375724e-05,60323.05,24070.575,42196.8125
4278,CU:nochange,2020-04-12,6,2020-04-18,"[0.01, 0.15, 0.025, 0.2, 0.05, 0.25, 0.55, 0.85, 0.5, 0.8, 0.1, 0.3, 0.6, 0.9, 0.975, 0.4, 0.99, 0.7, 0.65, 0.95, 0.45, 0.75, 0.35]","[32296.0, 40390.0, 33320.0, 42107.0, 35218.0, 43387.0, 53456.0, 67315.0, 51880.0, 63586.0, 37396.0, 44141.0, 55586.0, 71616.0, 96789.0, 47830.0, 112719.0, 58082.0, 56926.0, 85895.0, 48491.0, 61232.0, 44859.0]",40533,1.0,-7.877355903522056,0.9799922099782482,0.98,2.3405199649773056e-05,112719.0,32296.0,51880.0
1823,IHME:CurveFit,2020-04-12,111,2020-08-01,"[0.025, 0.975]","[30188.0, 175964.7]",155149,16.0,-9.09223496943352,0.9499869663912195,0.95,6.516803062184273e-06,175964.7,30188.0,103076.35
1311,IHME:CurveFit,2020-04-12,97,2020-07-18,"[0.025, 0.975]","[30188.0, 175964.7]",140775,14.0,-9.18945804378249,0.9499869663912195,0.95,6.516803062212029e-06,175964.7,30188.0,103076.35
4501,COVIDhub:ensemble,2020-04-13,33,2020-05-16,"[0.025, 0.975, 0.5]","[48316.71875, 238493.6125, 105921.02475]",91697,5.0,-9.411664774660398,0.9499946722481865,0.95,7.2255052782771445e-06,238493.6125,48316.71875,105921.02475
4407,COVIDhub:baseline,2020-04-13,26,2020-05-09,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[37563.1236825368, 42648.4067628176, 46389.2634866349, 50911.5352743527, 54011.7385908859, 56701.0675756758, 59286.868786187806, 61204.200771007694, 62864.70417904179, 64474.6190831908, 65465.43151831519, 65758.08127081269, 66054.5713407134, 67016.4156271563, 68568.0971034711, 70243.9240812408, 72112.7363798638, 74742.8872738727, 77461.29681246809, 80595.0530285303, 85214.4218627186, 89247.3457557076, 94507.6678567786]",81719,4.0,-8.478424647107069,0.9799981648585662,0.98,1.2204915680658068e-05,94507.6678567786,37563.1236825368,65758.08127081269
4294,MOBS:GLEAM_COVID,2020-04-13,5,2020-04-18,"[0.1, 0.5, 0.9]","[26551.749011099997, 37129.24069815, 61557.97042355]",40533,1.0,-7.865156609756085,0.799975735413156,0.8,2.3548399392808728e-05,61557.97042355,26551.749011099997,37129.24069815
4277,COVIDhub:ensemble,2020-04-13,5,2020-04-18,"[0.025, 0.5, 0.975]","[23083.14375, 31647.197999999997, 51094.0125]",40533,1.0,-7.494156165468515,0.9499632051766267,0.95,2.834804515877698e-05,51094.0125,23083.14375,31647.197999999997
4389,UMass:ExpertCrowd,2020-04-13,19,2020-05-02,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[26250.0, 29250.0, 31750.0, 34250.0, 36250.0, 37750.0, 39250.0, 40750.0, 42250.0, 43750.0, 45750.0, 47750.0, 49250.0, 51250.0, 53250.0, 55250.0, 57750.0, 61250.0, 65750.0, 71750.0, 89250.0, 108750.0, 133750.0]",69415,3.0,-9.411334661831113,0.9799985380403243,0.98,8.305978553113658e-06,133750.0,26250.0,47750.0
4299,COVIDhub:ensemble,2020-04-13,12,2020-04-25,"[0.025, 0.5, 0.975]","[31573.45, 51036.09099999999, 92473.63125]",55953,2.0,-8.324441554458573,0.9499817435082322,0.95,1.5930214384285435e-05,92473.63125,31573.45,51036.09099999999
4614,COVIDhub:ensemble,2020-04-13,40,2020-05-23,"[0.025, 0.975, 0.5]","[50987.4875, 274212.59375, 120663.354]",100275,6.0,-9.617945493958032,0.9499952122052404,0.95,6.232412097725848e-06,274212.59375,50987.4875,120663.354
4328,MOBS:GLEAM_COVID,2020-04-13,12,2020-04-25,"[0.1, 0.5, 0.9]","[32892.1433072, 46548.12431585, 74826.23254900001]",55953,2.0,-8.129822510469207,0.7999769895254909,0.8,1.7558305814180386e-05,74826.23254900001,32892.1433072,46548.12431585
4340,COVIDhub:baseline,2020-04-13,19,2020-05-02,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[35080.6212414124, 38952.4666921669, 40582.0848153482, 44331.9648756488, 46294.882667326696, 49044.633447334505, 50255.463572135704, 51800.8047610476, 53173.15493954941, 54049.9581285813, 54374.067974679805, 54432.0718207182, 54488.2568190682, 54796.6471154711, 55655.2147796478, 56983.4773797738, 58509.888586385896, 59730.2194251943, 62516.4115351154, 64544.174976749804, 68391.5700177002, 70290.5582170822, 74200.53406804071]",69415,3.0,-8.283610310863082,0.9799999967115409,0.98,1.4597316910808233e-05,74200.53406804071,35080.6212414124,54432.0718207182
4854,UMass:ExpertCrowd,2020-04-13,47,2020-05-30,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[34250.0, 37250.0, 41250.0, 45250.0, 48750.0, 51250.0, 54250.0, 57250.0, 60250.0, 63750.0, 68250.0, 73250.0, 78250.0, 82750.0, 88250.0, 94250.0, 101750.0, 110250.0, 122250.0, 143250.0, 177250.0, 207750.0, 250250.0]",106926,7.0,-9.676370627035293,0.9799976459695677,0.98,5.861705302701026e-06,250250.0,34250.0,73250.0
4343,COVIDhub:ensemble,2020-04-13,19,2020-05-02,"[0.025, 0.5, 0.975]","[39001.7375, 70037.94975, 142616.1]",69415,3.0,-9.034167457565996,0.9499904225480269,0.95,1.002978499188567e-05,142616.1,39001.7375,70037.94975
4411,COVIDhub:ensemble,2020-04-13,26,2020-05-09,"[0.025, 0.975, 0.5]","[44444.61875, 194142.3125, 88911.994]",81719,4.0,-9.196919992355333,0.9499934757118006,0.95,8.521489270787996e-06,194142.3125,44444.61875,88911.994
